FunctionName,Brief,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IO4KIP,DEVICE_ID_KONAIP_4TX_2110,DEVICE_ID_KONAALPHA
NTV2DeviceCanDoQREZ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoQuarterExpand,"Returns true if the device having the given ID can handle quarter-sized frames (pixel-halving and line-halving during input, pixel-double and line-double during output).",-,-,X,X,X,X,X,-,X,X,-,X,X,X,X,X,X,X,X,-,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoRateConvert,Returns true if the device having the given ID can do frame rate conversion.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoRGBPlusAlphaOut,Returns true if the device with the given ID has CSCs capable of splitting the key (alpha) and YCbCr (fill) from RGB frame buffers that include alpha. Has nothing to do with RGB wire formats.,-,-,X,-,-,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoRP188,Returns true if the device having the given ID can insert and/or extract RP-188/VITC.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoSDVideo,Returns true if the device having the given ID can handle SD (Standard Definition) video.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoSDIErrorChecks,Returns true if the device having the given ID can perform SDI error checking.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoStackedAudio,"Returns true if the device having the given ID uses a ""stacked"" arrangement of its audio buffers.",-,-,-,-,-,-,-,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoStereoIn,Returns true if the device having the given ID supports 3D video input over dual-stream SDI.,-,-,-,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X,-,-
NTV2DeviceCanDoStereoOut,Returns true if the device having the given ID supports 3D video output over dual-stream SDI.,-,-,-,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X,X,-
